lat	lon	title	icon	iconSize	iconOffset
30.856510	75.863110	A	double1.png	24,24	0,-24
30.852790	75.854810	B	double1.png	24,24	0,-24
30.855040	75.859393	C	double1.png	24,24	0,-24
30.934020	75.002220	D	double1.png	24,24	0,-24
30.946530	75.999120	1	single1.jpeg	24,24	0,-24
30.941630	75.995070	2	single1.jpeg	24,24	0,-24
30.941330	75.999760	3	single1.jpeg	24,24	0,-24
30.941260	75.000250	4	single1.jpeg	24,24	0,-24
30.935810	75.003170	5	single1.jpeg	24,24	0,-24
30.937710	75.998220	6	single1.jpeg	24,24	0,-24

